Query	Subject	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
PAZJ-6216	Tc06v2_t003370.4	85.028	541	74	5	1	541	316	849	5.9E-154	544
PAZJ-6216	Tc06v2_t003370.1	83.513	558	75	9	1	541	316	873	2.78E-142	505
SLYR-6216	Tc06v2_t003370.6	82.36	822	139	2	1	822	322	1137	0	710
SLYR-6216	Tc06v2_t003370.3	82.484	765	128	2	1	765	322	1080	0	665
SLYR-6216	Tc06v2_t003370.4	81.682	535	91	4	1	535	322	849	2.86E-122	438
SLYR-6216	Tc06v2_t003370.1	80.797	552	89	6	1	535	322	873	1.34E-115	416
WYIG_grafted_with_PAZJ-6216	Tc06v2_t003370.6	88.537	820	94	0	1	820	316	1135	0	994
WYIG_grafted_with_PAZJ-6216	Tc06v2_t003370.3	88.512	766	88	0	1	766	316	1081	0	928
WYIG_grafted_with_PAZJ-6216	Tc06v2_t003370.4	85.397	541	72	5	1	541	316	849	2.72E-157	555
WYIG_grafted_with_PAZJ-6216	Tc06v2_t003370.5	92.513	374	28	0	393	766	510	883	9.87E-152	536
WYIG_grafted_with_PAZJ-6216	Tc06v2_t003370.1	83.871	558	73	9	1	541	316	873	1.29E-145	516
OLXF_grafted_with_ATFX-6216	Tc06v2_t003370.6	89.623	954	93	5	3	953	186	1136	0	1208
OLXF_grafted_with_ATFX-6216	Tc06v2_t003370.3	89.544	899	88	5	3	898	186	1081	0	1134
OLXF_grafted_with_ATFX-6216	Tc06v2_t003370.4	87.834	674	69	9	3	673	186	849	0	778
OLXF_grafted_with_ATFX-6216	Tc06v2_t003370.1	86.541	691	70	14	3	673	186	873	0	739
OLXF_grafted_with_ATFX-6216	Tc06v2_t003370.5	93.059	389	27	0	510	898	495	883	1.13E-161	569
OLXF_grafted_with_ATFX-6216	Tc06v2_t003370.5	86.859	312	35	5	3	311	186	494	7.48E-94	344
Arath-4954	Tc04v2_t004910.2	76.171	982	226	8	40	1017	553	1530	7.67E-144	510
Arath-4954	Tc04v2_t004910.1	76.303	844	192	8	40	879	553	1392	7.89E-124	444
OXYP-4954	Tc04v2_t004910.2	81.32	985	182	2	1	984	577	1560	0	798
OXYP-4954	Tc04v2_t004910.1	81.373	816	152	0	1	816	577	1392	0	665
ZSAB_grafted_with_NXOH-4954	Tc04v2_t004910.2	89.301	916	97	1	4	918	630	1545	0	1147
ZSAB_grafted_with_NXOH-4954	Tc04v2_t004910.1	88.976	762	83	1	4	764	630	1391	0	941
WYIG-4954	Tc04v2_t004910.2	91.771	960	76	1	1	957	514	1473	0	1334
WYIG-4954	Tc04v2_t004910.1	92.027	878	67	1	1	875	514	1391	0	1232
FYTP-6150	Tc04v2_t003090.1	85.299	585	80	5	1	582	313	894	8.95E-171	599
HBHB-6150	Tc04v2_t003090.1	84.866	522	79	0	1	522	238	759	3.71E-149	527
XFFT-6150	Tc04v2_t003090.1	82.569	654	112	2	1	653	238	890	1.65E-163	575
ZSAB-6150	Tc04v2_t003090.1	91.395	674	58	0	1	674	238	911	0	924
WYIG_grafted_with_HBHB-6150	Tc04v2_t003090.1	84.86	535	64	9	1	531	238	759	4.88E-148	523
OLXF-6150	Tc04v2_t003090.1	86.036	666	54	6	1	627	238	903	0	682
CWZU-6506	Tc04v2_t013710.2	84.97	499	75	0	10	508	166	664	4.75E-143	507
CWZU-6506	Tc04v2_t013710.1	84.615	390	60	0	10	399	166	555	1.8E-107	388
KYAD-6506	Tc04v2_t013710.2	82.114	492	86	2	10	500	166	656	6.37E-117	420
KYAD-6506	Tc04v2_t013710.1	81.795	390	71	0	10	399	166	555	3.97E-89	327
OXYP-6506	Tc04v2_t013710.2	83.71	442	72	0	67	508	223	664	2.29E-116	418
OXYP-6506	Tc04v2_t013710.1	84.478	335	52	0	67	401	223	557	3.07E-90	331
TEZA-6506	Tc04v2_t013710.2	79.029	515	104	4	1	513	157	669	8.47E-96	350
UMUL-6506	Tc04v2_t013710.2	83.945	436	66	4	79	512	235	668	2.96E-115	414
UMUL-6506	Tc04v2_t013710.1	84.259	324	51	0	79	402	235	558	8.59E-86	316
OLXF-6506	Tc04v2_t013710.2	87.103	504	65	0	10	513	166	669	1.66E-162	571
OLXF-6506	Tc04v2_t013710.1	88.804	393	44	0	10	402	166	558	8.01E-136	483
WYIG-7572	Tc03v2_t007230.1	87.903	744	87	1	1	741	172	915	0	872
ZSAB-7572	Tc03v2_t007230.1	88.322	745	87	0	6	750	171	915	0	894
NUZN-6404	Tc09v2_t015350.1	85.033	608	89	2	11	617	11	617	2.55E-176	617
SXML-6404	Tc09v2_t015350.1	83.793	580	90	4	1	578	1	578	3.17E-155	547
WYIG-6404	Tc09v2_t015350.1	92.762	677	49	0	1	677	1	677	0	979
ZSAB_grafted_with_NUZN-6404	Tc09v2_t015350.1	85.46	674	98	0	11	684	11	684	0	702
OLXF-6404	Tc09v2_t015350.1	88.824	680	64	5	1	668	1	680	0	826
WYIG-5990	Tc06v2_t007130.2	89.663	416	37	2	1	416	1	410	1.05E-148	525
WYIG-5990	Tc06v2_t007130.3	89.663	416	37	2	1	416	1	410	1.05E-148	525
WYIG-5990	Tc06v2_t007130.1	89.663	416	37	2	1	416	1	410	1.05E-148	525
OLXF-5990	Tc06v2_t007130.2	85.366	410	60	0	1	410	1	410	1.08E-118	425
OLXF-5990	Tc06v2_t007130.3	85.366	410	60	0	1	410	1	410	1.08E-118	425
OLXF-5990	Tc06v2_t007130.1	85.366	410	60	0	1	410	1	410	1.08E-118	425
IDAU-5716	Tc03v2_t009380.1	80.612	490	91	4	1	488	115	602	5.13E-103	375
Poptr-v3.0-5716	Tc03v2_t009380.1	82.305	486	86	0	1	486	115	600	6.54E-117	422
ZSAB_grafted_with_LVUS-5716	Tc03v2_t009380.1	79.65	801	134	19	220	999	997	1789	2.07E-155	549
WYIG_grafted_with_VUSY-5716	Tc03v2_t009380.1	83.767	807	123	7	789	1591	1059	1861	0	758
OLXF_grafted_with_LVUS-5716	Tc03v2_t009380.1	78.828	751	130	19	330	1059	1047	1789	2.86E-134	479
HOKG-6298	Tc01v2_t023080.1	81.836	523	93	2	1	522	1	522	1.79E-122	438
YKQR-6298	Tc01v2_t023080.1	85.057	522	78	0	1	522	1	522	7.98E-151	532
OLXF-6298	Tc01v2_t023080.1	90.23	522	51	0	1	522	1	522	0	682
WYIG-6298	Tc01v2_t023080.1	92.885	253	18	0	1	253	1	253	2.34E-101	368
WYIG-6298	Tc01v2_t023080.1	92.116	241	19	0	273	513	282	522	5.1E-93	340
WWKL-5460	Tc09v2_t008290.1	83.632	391	62	2	1	390	22	411	6.3E-101	366
GRFT-4527	Tc02v2_t001450.2	78.911	863	176	6	1	860	307	1166	4.72E-165	580
GRFT-4527	Tc02v2_t001450.1	78.911	863	176	6	1	860	307	1166	4.72E-165	580
HAEU-4527	Tc02v2_t001450.2	85.174	1295	190	2	4	1297	274	1567	0	1327
HAEU-4527	Tc02v2_t001450.1	85.174	1295	190	2	4	1297	274	1567	0	1327
JEPE-4527	Tc02v2_t001450.2	78.029	1238	260	10	20	1251	290	1521	0	769
JEPE-4527	Tc02v2_t001450.1	78.029	1238	260	10	20	1251	290	1521	0	769
NUZN-4527	Tc02v2_t001450.2	83.295	862	121	3	1	840	586	1446	0	773
NUZN-4527	Tc02v2_t001450.1	83.295	862	121	3	1	840	586	1446	0	773
TIUZ-4527	Tc02v2_t001450.2	84.973	1311	195	2	4	1313	274	1583	0	1328
TIUZ-4527	Tc02v2_t001450.1	84.973	1311	195	2	4	1313	274	1583	0	1328
WYIG_grafted_with_NUZN-4527	Tc02v2_t001450.2	83.913	1063	148	3	1	1041	385	1446	0	994
WYIG_grafted_with_NUZN-4527	Tc02v2_t001450.1	83.913	1063	148	3	1	1041	385	1446	0	994
ZSAB-6366	Tc05v2_t006120.3	90.131	1530	149	2	1	1529	1303	2831	0	1988
ZSAB-6366	Tc05v2_t006120.2	90.131	1530	149	2	1	1529	1303	2831	0	1988
ZSAB-6366	Tc05v2_t006120.1	90.131	1530	149	2	1	1529	1303	2831	0	1988
PTLU-6238	Tc09v2_t008730.1	82.96	446	74	2	248	692	482	926	3.16E-111	401
PTLU-6238	Tc09v2_t008730.2	82.96	446	74	2	248	692	482	926	3.16E-111	401
WYIG-6238	Tc09v2_t008730.2	87.949	946	112	2	1	945	589	1533	0	1114
WYIG-6238	Tc09v2_t008730.1	86.679	533	69	2	1	532	589	1120	8.62E-168	590
ZSAB-5562	Tc05v2_t005760.1	90.96	354	32	0	1	354	1	354	2.51E-134	477
WYIG-6270	Tc02v2_t014080.1	89.62	395	39	2	12	405	147	540	1.72E-141	501
WYIG-6270	Tc02v2_t014080.2	90.244	287	25	3	12	297	147	431	1.41E-102	372
OLXF-6270	Tc02v2_t014080.1	87.831	378	44	2	11	387	146	522	1.06E-123	442
OLXF-6270	Tc02v2_t014080.2	87.153	288	34	3	11	297	146	431	4E-88	324
OLXF-4802	Tc01v2_t030770.4	91.329	888	77	0	1	888	205	1092	0	1214
OLXF-4802	Tc01v2_t030770.3	91.329	888	77	0	1	888	205	1092	0	1214
OLXF-4802	Tc01v2_t030770.2	91.329	888	77	0	1	888	205	1092	0	1214
OLXF-4802	Tc01v2_t030770.6	91.329	888	77	0	1	888	205	1092	0	1214
OLXF-4802	Tc01v2_t030770.5	91.329	888	77	0	1	888	205	1092	0	1214
OLXF-4802	Tc01v2_t030770.1	91.129	496	44	0	1	496	205	700	0	673
WYIG-4802	Tc01v2_t030770.4	92.005	888	62	3	1	879	205	1092	0	1240
WYIG-4802	Tc01v2_t030770.3	92.005	888	62	3	1	879	205	1092	0	1240
WYIG-4802	Tc01v2_t030770.2	92.005	888	62	3	1	879	205	1092	0	1240
WYIG-4802	Tc01v2_t030770.6	92.005	888	62	3	1	879	205	1092	0	1240
WYIG-4802	Tc01v2_t030770.5	92.005	888	62	3	1	879	205	1092	0	1240
WYIG-4802	Tc01v2_t030770.1	93.145	496	34	0	1	496	205	700	0	728
WYIG-4802	Tc01v2_t030770.1	90.712	323	21	3	566	879	701	1023	8.62E-118	424
WYIG-4802	Tc01v2_t030750.1	86.432	398	39	8	497	879	2	399	8.62E-118	424
HQRJ-5733	Tc02v2_t029150.1	83.215	423	71	0	1	423	268	690	1.97E-107	388
ZSAB-6865	Tc08v2_t013960.2	93.116	552	36	2	1	551	502	1052	0	808
ZSAB-6865	Tc08v2_t013960.1	93.116	552	36	2	1	551	463	1013	0	808
ZSAB_grafted_with_TIUZ-6221	Tc04v2_t025830.1	87.411	699	80	5	1	692	121	818	0	797
ZSAB-5802	Tc05v2_t003740.1	88.889	270	30	0	1	270	520	789	4.29E-91	333
ZSAB-5802	Tc05v2_t003740.2	88.889	270	30	0	1	270	520	789	4.29E-91	333
Ambtr-5945	Tc05v2_t008970.1	78.807	788	149	16	1	779	1	779	4.38E-145	514
QUTB-5945	Tc05v2_t008970.1	85.385	780	112	2	1	779	1	779	0	808
OLXF-5945	Tc05v2_t008970.1	93.094	695	48	0	1	695	37	731	0	1018
WYIG_grafted_with_Arath-5945	Tc05v2_t008970.1	84.763	781	117	2	1	780	1	780	0	782
ZSAB-5945	Tc05v2_t008970.1	94.208	777	45	0	1	777	4	780	0	1186
VQFW-5162	Tc04v2_t025780.1	82.138	767	135	2	1	766	868	1633	0	656
YKQR-5162	Tc04v2_t025780.1	83.602	1305	208	3	1	1305	370	1668	0	1219
ZSAB_grafted_with_YKQR-5162	Tc04v2_t025780.1	84.658	1434	214	3	1	1434	241	1668	0	1424
Ambtr-6026	Tc02v2_t022020.1	78.742	795	159	9	13	802	202	991	7.54E-148	523
Arath-6026	Tc02v2_t022020.1	81.298	786	147	0	22	807	211	996	0	638
UOYN-6026	Tc02v2_t022020.1	80.734	763	138	4	1	763	238	991	9.01E-167	586
WWKL-6026	Tc02v2_t022020.1	88.384	594	66	1	1	591	403	996	0	712
XVJB-6026	Tc02v2_t022020.1	84.058	759	121	0	49	807	238	996	0	732
OLXF-6026	Tc02v2_t022020.1	88.834	806	90	0	1	806	190	995	0	990
ZSAB-6026	Tc02v2_t022020.1	90.116	779	71	3	1	773	196	974	0	1007
HYZL-6500	Tc01v2_t020750.2	85.05	1398	209	0	6	1403	471	1868	0	1424
HYZL-6500	Tc01v2_t020750.1	85.05	1398	209	0	6	1403	471	1868	0	1424
NUZN-6500	Tc01v2_t020750.2	85.704	1399	200	0	6	1404	471	1869	0	1476
NUZN-6500	Tc01v2_t020750.1	85.704	1399	200	0	6	1404	471	1869	0	1476
OLXF-6500	Tc01v2_t020750.2	92.242	1405	107	2	1	1404	466	1869	0	1989
OLXF-6500	Tc01v2_t020750.1	92.242	1405	107	2	1	1404	466	1869	0	1989
ZSAB_grafted_with_HYZL-6500	Tc01v2_t020750.2	88.865	1401	149	6	6	1401	471	1869	0	1716
ZSAB_grafted_with_HYZL-6500	Tc01v2_t020750.1	88.865	1401	149	6	6	1401	471	1869	0	1716
Arath-5264	Tc01v2_t006340.5	78.137	1546	301	32	1	1520	1	1535	0	948
QUTB-5264	Tc01v2_t006340.5	86.25	1040	133	9	1	1035	211	1245	0	1120
UPZX-5264	Tc01v2_t006340.5	80.208	1536	275	14	1	1508	1	1535	0	1125
WYIG_grafted_with_QUTB-5264	Tc01v2_t006340.5	87.669	1038	122	5	1	1035	211	1245	0	1203
ZSAB_grafted_with_QUTB-5264	Tc01v2_t006340.5	88.571	1330	142	9	1	1325	211	1535	0	1605
OLXF_grafted_with_QUTB-5264	Tc01v2_t006340.5	89.291	1326	140	2	1	1325	211	1535	0	1661
ZSAB_grafted_with_NUZN-6265	Tc05v2_t011800.1	84.659	704	104	3	1	702	19	720	0	699
WYIG_grafted_with_XRLM-6265	Tc05v2_t011800.1	83.186	452	69	4	4	450	271	720	4.32E-113	407
OLXF-6265	Tc05v2_t011800.1	88.462	702	75	1	1	696	19	720	0	845
HAEU-6641	Tc04v2_t004150.1	83.951	567	91	0	1	567	256	822	4.01E-154	544
Manes-v4.1-6641	Tc04v2_t004150.1	85.439	570	83	0	1	570	256	825	3.95E-169	593
ZSAB-6641	Tc04v2_t004150.1	87.148	568	66	6	9	575	264	825	0	638
OLXF-6641	Tc04v2_t004150.1	88.007	567	68	0	4	570	259	825	0	671
VVPY-5639	Tc01v2_t002790.1	83.632	782	128	0	1	782	286	1067	0	736
ZSAB-5639	Tc01v2_t002790.1	91.265	664	58	0	11	674	206	869	0	905
WYIG_grafted_with_VVPY-5639	Tc01v2_t002790.1	85.894	872	123	0	1	872	196	1067	0	929
Arath-6258	Tc05v2_t015220.1	79.751	884	173	6	35	915	290	1170	0	636
VYGG-6258	Tc05v2_t015220.1	86.621	867	113	3	4	870	310	1173	0	955
ZSAB_grafted_with_VYGG-6258	Tc05v2_t015220.1	88.31	864	98	2	4	867	310	1170	0	1033
WYIG-6258	Tc05v2_t015220.1	91.612	918	77	0	1	918	256	1173	0	1269
OLXF-6258	Tc05v2_t015220.1	88.695	858	76	11	1	837	256	1113	0	1029
WYIG-5357	Tc05v2_t003410.1	94.54	348	19	0	1	348	73	420	1.13E-152	538
OLXF-5357	Tc05v2_t003410.1	93.966	348	21	0	1	348	73	420	2.44E-149	527
OLXF_grafted_with_INQX-6000	Tc01v2_t017390.4	90.312	609	59	0	1	609	256	864	0	798
OLXF_grafted_with_INQX-6000	Tc01v2_t017390.7	90.312	609	59	0	1	609	208	816	0	798
OLXF_grafted_with_INQX-6000	Tc01v2_t017390.8	90.312	609	59	0	1	609	223	831	0	798
OLXF_grafted_with_INQX-6000	Tc01v2_t017390.5	90.312	609	59	0	1	609	256	864	0	798
OLXF_grafted_with_INQX-6000	Tc01v2_t017390.6	90.312	609	59	0	1	609	202	810	0	798
OLXF_grafted_with_INQX-6000	Tc01v2_t017390.3	90.312	609	59	0	1	609	256	864	0	798
OLXF_grafted_with_INQX-6000	Tc01v2_t017390.2	90.264	606	59	0	1	606	256	861	0	793
OLXF_grafted_with_INQX-6000	Tc01v2_t017390.1	88.342	609	56	1	1	609	256	849	0	717
ZSAB-6000	Tc01v2_t017390.4	93.103	609	42	0	1	609	256	864	0	893
ZSAB-6000	Tc01v2_t017390.7	93.103	609	42	0	1	609	208	816	0	893
ZSAB-6000	Tc01v2_t017390.8	93.103	609	42	0	1	609	223	831	0	893
ZSAB-6000	Tc01v2_t017390.5	93.103	609	42	0	1	609	256	864	0	893
ZSAB-6000	Tc01v2_t017390.6	93.103	609	42	0	1	609	202	810	0	893
ZSAB-6000	Tc01v2_t017390.3	93.103	609	42	0	1	609	256	864	0	893
ZSAB-6000	Tc01v2_t017390.2	93.069	606	42	0	1	606	256	861	0	887
ZSAB-6000	Tc01v2_t017390.1	90.969	609	40	1	1	609	256	849	0	806
WYIG-6000	Tc01v2_t017390.4	92.027	602	42	4	1	596	256	857	0	841
WYIG-6000	Tc01v2_t017390.2	92.027	602	42	4	1	596	256	857	0	841
WYIG-6000	Tc01v2_t017390.7	92.027	602	42	4	1	596	208	809	0	841
WYIG-6000	Tc01v2_t017390.8	92.027	602	42	4	1	596	223	824	0	841
WYIG-6000	Tc01v2_t017390.5	92.027	602	42	4	1	596	256	857	0	841
WYIG-6000	Tc01v2_t017390.6	92.027	602	42	4	1	596	202	803	0	841
WYIG-6000	Tc01v2_t017390.3	92.027	602	42	4	1	596	256	857	0	841
WYIG-6000	Tc01v2_t017390.1	89.867	602	40	9	1	596	256	842	0	754
GRFT-6363	Tc08v2_t009430.1	77.668	1218	257	10	1	1209	481	1692	0	728
UZWG-6363	Tc08v2_t009430.1	82.933	1166	186	9	1	1164	538	1692	0	1038
WYIG_grafted_with_UZWG-6363	Tc08v2_t009430.1	87.532	1163	135	8	1	1161	538	1692	0	1336
ZSAB_grafted_with_HLJG-6363	Tc08v2_t009430.1	82.743	1072	174	10	10	1074	625	1692	0	944
OLXF_grafted_with_UZWG-6363	Tc08v2_t009430.1	85.915	497	67	1	1	497	538	1031	8.88E-149	527
OLXF_grafted_with_UZWG-6363	Tc08v2_t009430.1	88.293	410	48	0	809	1218	1283	1692	3.24E-138	492
QUTB-5899	Tc06v2_t003180.2	85.124	726	105	2	352	1074	574	1299	0	739
QUTB-5899	Tc06v2_t003180.1	85.124	726	105	2	352	1074	574	1299	0	739
ZSAB_grafted_with_QUTB-5899	Tc06v2_t003180.2	88.241	1114	121	7	352	1460	574	1682	0	1323
ZSAB_grafted_with_QUTB-5899	Tc06v2_t003180.1	88.241	1114	121	7	352	1460	574	1682	0	1323
OLXF_grafted_with_QUTB-5899	Tc06v2_t003180.2	87.641	1149	136	5	3	1146	152	1299	0	1330
OLXF_grafted_with_QUTB-5899	Tc06v2_t003180.1	87.641	1149	136	5	3	1146	152	1299	0	1330
WYIG_grafted_with_NHUA-5899	Tc06v2_t003180.2	82.944	1155	180	12	1	1142	151	1301	0	1026
WYIG_grafted_with_NHUA-5899	Tc06v2_t003180.1	82.944	1155	180	12	1	1142	151	1301	0	1026
SLYR-5894	Tc09v2_t015210.1	85.373	335	41	8	39	369	357	687	3.6E-93	340
SLYR-5894	Tc09v2_t015210.4	85.373	335	41	8	39	369	357	687	3.6E-93	340
SLYR-5894	Tc09v2_t015210.3	85.373	335	41	8	39	369	357	687	3.6E-93	340
TIUZ-6893	Tc09v2_t001160.1	82.967	364	58	4	27	388	51	412	1.09E-88	326
AAXJ-5427	Tc10v2_t005720.2	81.33	782	138	7	29	806	473	1250	1.57E-179	628
AAXJ-5427	Tc10v2_t005720.1	81.33	782	138	7	29	806	476	1253	1.57E-179	628
AXBO-5427	Tc10v2_t005720.2	84.259	432	68	0	337	768	826	1257	2.69E-117	422
AXBO-5427	Tc10v2_t005720.2	85.671	328	47	0	1	328	445	772	1.66E-94	346
AXBO-5427	Tc10v2_t005720.1	84.259	432	68	0	337	768	829	1260	2.69E-117	422
AXBO-5427	Tc10v2_t005720.1	85.671	328	47	0	1	328	448	775	1.66E-94	346
DVXD-5427	Tc10v2_t005720.2	78.961	770	162	0	43	812	487	1256	2.11E-148	525
DVXD-5427	Tc10v2_t005720.1	78.961	770	162	0	43	812	490	1259	2.11E-148	525
KCPT-5427	Tc10v2_t005720.2	82.555	814	140	2	1	813	445	1257	0	715
KCPT-5427	Tc10v2_t005720.1	82.555	814	140	2	1	813	448	1260	0	715
NUZN-5427	Tc10v2_t005720.2	85.837	812	115	0	1	812	445	1256	0	863
NUZN-5427	Tc10v2_t005720.1	85.837	812	115	0	1	812	448	1259	0	863
QICX-5427	Tc10v2_t005720.2	85.258	814	118	2	1	813	445	1257	0	837
QICX-5427	Tc10v2_t005720.1	85.258	814	118	2	1	813	448	1260	0	837
OLXF_grafted_with_SUVN-5427	Tc10v2_t005720.2	85.554	803	111	3	8	806	452	1253	0	835
OLXF_grafted_with_SUVN-5427	Tc10v2_t005720.1	85.554	803	111	3	8	806	455	1256	0	835
WYIG_grafted_with_NUZN-5427	Tc10v2_t005720.2	87.7	813	100	0	1	813	445	1257	0	948
WYIG_grafted_with_NUZN-5427	Tc10v2_t005720.1	87.7	813	100	0	1	813	448	1260	0	948
WCOR-6689	Tc06v2_t011660.1	77.311	833	172	13	37	856	280	1108	2.31E-133	475
WCOR-6689	Tc06v2_t011660.3	77.311	833	172	13	37	856	280	1108	2.31E-133	475
WCOR-6689	Tc06v2_t011660.2	77.311	833	172	13	37	856	280	1108	2.31E-133	475
OLXF-6689	Tc06v2_t011660.1	92.58	876	65	0	1	876	244	1119	0	1258
OLXF-6689	Tc06v2_t011660.3	92.58	876	65	0	1	876	244	1119	0	1258
OLXF-6689	Tc06v2_t011660.2	92.58	876	65	0	1	876	244	1119	0	1258
ZSAB_grafted_with_HQRJ-6689	Tc06v2_t011660.1	89.761	879	87	2	1	879	244	1119	0	1122
ZSAB_grafted_with_HQRJ-6689	Tc06v2_t011660.3	89.761	879	87	2	1	879	244	1119	0	1122
ZSAB_grafted_with_HQRJ-6689	Tc06v2_t011660.2	89.761	879	87	2	1	879	244	1119	0	1122
INQX-5335	Tc02v2_t015670.1	82.477	1090	187	3	1	1088	1	1088	0	952
NUZN-5335	Tc02v2_t015670.1	85.714	854	118	4	1	852	505	1356	0	898
ZINQ-5335	Tc02v2_t015670.1	77.978	890	178	11	1	875	1	887	2.27E-153	542
OLXF_grafted_with_NUZN-5335	Tc02v2_t015670.1	87.865	1096	131	2	238	1332	262	1356	0	1286
OLXF_grafted_with_NUZN-5335	Tc02v2_t015670.1	93.722	223	14	0	1	223	1	223	6.33E-91	335
WYIG_grafted_with_KTAR-5335	Tc02v2_t015670.1	89.076	1126	115	6	1	1122	229	1350	0	1391
PXYR-6496	Tc01v2_t003360.1	85.169	681	99	2	1	680	1	680	0	697
SMMC-6496	Tc01v2_t003360.1	84.638	677	102	2	1	676	1	676	0	673
Vitvi-Genoscope.12X-6496	Tc01v2_t003360.1	88.596	684	76	2	1	683	1	683	0	830
ZSAB-6496	Tc01v2_t003360.1	91.801	683	56	0	1	683	1	683	0	952
OLXF-6164	Tc09v2_t000710.1	89.459	351	37	0	1	351	220	570	2.53E-124	444
Arath-6667	Tc05v2_t004850.2	78.014	846	184	2	61	905	739	1583	5.13E-150	531
Arath-6667	Tc05v2_t004850.1	78.459	571	121	2	61	630	739	1308	3.29E-102	372
BCAA-6667	Tc05v2_t004850.2	84.965	858	122	6	11	866	731	1583	0	863
BCAA-6667	Tc05v2_t004850.1	83.904	584	89	4	11	593	731	1310	1.05E-156	553
OLXF_grafted_with_BCAA-6667	Tc05v2_t004850.2	86.082	855	114	4	11	864	731	1581	0	915
OLXF_grafted_with_BCAA-6667	Tc05v2_t004850.1	85.69	587	79	4	11	596	731	1313	4.73E-175	614
WYIG_grafted_with_BCAA-6667	Tc05v2_t004850.2	88.521	906	102	2	1	905	679	1583	0	1096
WYIG_grafted_with_BCAA-6667	Tc05v2_t004850.1	89.082	632	69	0	1	632	679	1310	0	785
THHD-6660	Tc06v2_t009730.2	83.204	774	130	0	1	774	130	903	0	710
THHD-6660	Tc06v2_t009730.1	83.011	724	123	0	51	774	267	990	0	656
ZSAB_grafted_with_THHD-6660	Tc06v2_t009730.2	85.714	777	108	1	1	777	130	903	0	817
ZSAB_grafted_with_THHD-6660	Tc06v2_t009730.1	85.557	727	102	1	51	777	267	990	0	758
WYIG_grafted_with_THHD-6660	Tc06v2_t009730.2	87.533	762	95	0	1	762	133	894	0	881
WYIG_grafted_with_THHD-6660	Tc06v2_t009730.1	87.552	715	89	0	48	762	267	981	0	828
NGRR-6303	Tc09v2_t003450.1	83.701	589	87	6	51	639	294	873	3.53E-155	547
QURC-6303	Tc09v2_t003450.1	84.222	469	72	2	42	509	285	752	1.91E-127	455
VYGG-6303	Tc09v2_t003450.1	85.996	507	61	4	1	507	403	899	2.17E-151	534
OLXF_grafted_with_VYGG-6303	Tc09v2_t003450.1	88.153	498	58	1	1	498	403	899	1.24E-168	592
ZSAB-6303	Tc09v2_t003450.1	88.832	582	65	0	1	582	322	903	0	715
ZSAB-6860	Tc07v2_t004420.2	89.512	553	57	1	64	615	309	861	0	701
ZSAB-6860	Tc07v2_t004420.1	89.512	553	57	1	64	615	309	861	0	701
WYIG_grafted_with_HYZL-6860	Tc07v2_t004420.2	89.279	513	55	0	1	513	343	855	0	645
WYIG_grafted_with_HYZL-6860	Tc07v2_t004420.1	89.279	513	55	0	1	513	343	855	0	645
TIUZ-5660	Tc06v2_t002480.2	87.903	372	44	1	132	503	307	677	6.36E-122	436
TIUZ-5660	Tc06v2_t002480.1	87.903	372	44	1	132	503	307	677	6.36E-122	436
XPBC-5660	Tc06v2_t002480.2	81.698	377	67	2	132	507	307	682	1.12E-84	313
XPBC-5660	Tc06v2_t002480.1	81.698	377	67	2	132	507	307	682	1.12E-84	313
WVEF-6056	Tc09v2_t005160.1	78.296	493	105	2	3	494	531	1022	1.18E-85	316
ZSAB_grafted_with_NUZN-5821	Tc09v2_t020390.1	88.972	535	59	0	1	535	190	724	0	662
ZSAB_grafted_with_NUZN-5821	Tc09v2_t020390.2	88.972	535	59	0	1	535	190	724	0	662
OLXF-5821	Tc09v2_t020390.1	90.236	635	60	2	1	634	91	724	0	828
OLXF-5821	Tc09v2_t020390.2	90.236	635	60	2	1	634	91	724	0	828
WYIG-5821	Tc09v2_t020390.1	93.808	646	38	2	1	645	94	738	0	970
WYIG-5821	Tc09v2_t020390.2	93.808	646	38	2	1	645	94	738	0	970
SLYR-5422	Tc01v2_t013630.2	79.123	661	129	9	2	657	365	1021	3.79E-125	448
SLYR-5422	Tc01v2_t013630.1	79.123	661	129	9	2	657	365	1021	3.79E-125	448
OLXF_grafted_with_PPPZ-5422	Tc01v2_t013630.2	79.939	658	121	11	2	654	366	1017	6.25E-133	473
OLXF_grafted_with_PPPZ-5422	Tc01v2_t013630.1	79.939	658	121	11	2	654	366	1017	6.25E-133	473
ZSAB_grafted_with_CWZU-5422	Tc01v2_t013630.2	84.779	657	100	0	2	658	365	1021	0	660
ZSAB_grafted_with_CWZU-5422	Tc01v2_t013630.1	84.779	657	100	0	2	658	365	1021	0	660
BCAA-5454	Tc04v2_t001710.1	87.437	796	100	0	384	1179	720	1515	0	917
Orysa-5454	Tc04v2_t001710.1	80.165	605	113	7	547	1147	886	1487	2.49E-124	446
YKQR-5454	Tc04v2_t001710.1	82.152	1115	154	27	56	1155	440	1524	0	915
WYIG_grafted_with_YKQR-5454	Tc04v2_t001710.1	84.201	1114	133	25	56	1155	440	1524	0	1042
OLXF-6955	Tc03v2_t013950.3	90.774	336	31	0	1	336	121	456	5.18E-126	449
OLXF-6955	Tc03v2_t013950.1	90.774	336	31	0	1	336	121	456	5.18E-126	449
OLXF-6955	Tc03v2_t013950.2	90.774	336	31	0	1	336	121	456	5.18E-126	449
